client,date_of_purchase,units,price_per_unit,payment_method,payment_hour,country
Burberry,2023-09-09,63,64.46,cash,13:49,Iceland
Adecco Group,2023-07-27,79,224.49,debit_card,03:34,France
NN Group,2023-03-08,39,77.72,cash,04:02,Austria
ASML Holding,2023-08-17,16,115.5,cash,02:30,Belarus
Alantra Partners,2023-07-29,26,41.33,debit_card,03:13,United Kingdom
Ferguson plc,2023-08-09,56,254.65,cash,08:27,Bosnia and Herzegovina
ING Group,2023-09-26,40,203.61,cash,22:37,Vatican City
JCDecaux,2023-02-11,46,274.63,credit_card,16:13,Netherlands
Electrolux,2023-04-25,27,39.32,debit_card,01:41,Belgium
Lufthansa,2023-09-10,51,235.38,cash,09:29,United Kingdom
WPP plc,2023-07-02,7,263.43,cash,18:14,Estonia
Richemont,2023-12-23,68,229.64,cash,10:34,Sweden
UBS,2023-03-25,41,119.55,cash,04:40,Slovenia
Sonae,2023-07-17,83,92.85,credit_card,19:51,Croatia
Enagas,2023-05-20,74,239.96,cash,05:36,Andorra
BASF,2023-01-19,34,246.41,debit_card,11:11,Serbia
Jerónimo Martins,2023-10-29,36,229.76,credit_card,09:46,Bosnia and Herzegovina
Kerry Group,2023-06-30,13,265.21,cash,22:57,Malta
Smiths Group,2023-01-28,1,233.86,debit_card,01:45,Ireland
Airbus,2023-12-22,39,157.99,debit_card,20:38,Moldova
Lonza Group,2023-04-02,84,264.0,debit_card,23:27,Ukraine
William Demant,2023-03-04,80,207.14,cash,09:00,Monaco
Adidas,2023-07-24,17,275.4,debit_card,20:33,Moldova
Alfa Laval,2023-06-23,82,54.37,credit_card,13:18,North Macedonia
UCB,2023-11-17,34,114.91,cash,09:27,Belgium
Banco Comercial Português,2023-08-23,60,77.34,debit_card,19:42,Czech Republic
AMS AG,2023-02-19,100,35.6,cash,00:24,Kosovo
DNB ASA,2023-07-09,7,185.01,cash,22:30,Switzerland
Fortum,2023-09-24,43,146.48,cash,10:53,Netherlands
MAN SE,2023-05-06,61,226.73,cash,08:33,Serbia
Novo Nordisk,2023-09-08,100,85.05,debit_card,10:09,Bosnia and Herzegovina
Capgemini,2023-10-10,72,62.89,cash,06:51,Czech Republic
Legal & General,2023-03-12,81,53.98,debit_card,16:42,Ukraine
ING Group,2023-04-22,80,136.42,credit_card,15:22,Cyprus
EssilorLuxottica,2023-09-26,66,207.44,debit_card,00:22,Netherlands
Swatch Group,2023-05-27,19,109.28,credit_card,03:54,Spain
Merck Group,2023-06-17,60,124.73,credit_card,21:01,Belarus
Coca-Cola European Partners,2023-06-15,74,71.27,credit_card,22:26,Ireland
Lindt & Sprüngli,2023-07-13,98,29.23,debit_card,12:46,Ukraine
Babcock International Group,2023-09-19,58,29.46,cash,20:43,Norway
Argenta,2023-10-12,49,143.62,credit_card,09:40,Norway
Unilever,2023-12-06,72,259.69,debit_card,23:51,Ireland
Cancom,2023-08-12,40,12.3,debit_card,04:32,Latvia
Playtech,2023-09-26,15,63.39,credit_card,11:21,Iceland
Smurfit Kappa,2023-09-14,60,85.91,debit_card,08:21,Belgium
Continental AG,2023-02-16,51,228.79,credit_card,11:19,Poland
Pearson plc,2023-05-08,13,222.44,debit_card,18:38,Montenegro
CRH plc,2023-11-13,9,61.67,credit_card,22:40,Serbia
Roche,2023-11-06,74,193.94,credit_card,13:25,Kosovo
Mapfre,2023-02-19,88,247.77,debit_card,07:27,Kosovo
Bord na Móna,2023-05-25,81,96.92,cash,20:11,Ukraine
Viscofan,2023-07-21,89,220.87,credit_card,22:41,Vatican City
Swatch Group,2023-06-05,7,76.22,cash,07:50,United Kingdom
Assicurazioni Generali,2023-07-29,92,44.56,cash,11:51,Ireland
Standard Chartered,2023-03-06,33,123.72,cash,02:05,Kosovo
Neste,2023-10-31,32,139.94,cash,09:02,Italy
CRH plc,2023-09-11,80,230.22,cash,13:51,Bulgaria
Aviva,2023-12-27,38,177.53,debit_card,09:26,North Macedonia
Phoenix Group Holdings,2023-06-08,20,83.28,debit_card,09:19,Belgium
GSK,2023-03-13,30,31.67,cash,09:59,Andorra
Ahold Delhaize,2023-09-16,14,190.62,cash,17:04,Sweden
Legrand,2023-03-18,90,297.71,debit_card,22:30,Germany
Mapfre,2023-08-14,53,250.12,debit_card,18:53,Switzerland
Tesco,2023-09-25,47,123.83,debit_card,12:18,Portugal
Sainsbury's,2023-04-15,97,281.57,debit_card,08:43,Greece
Continental AG,2023-09-15,36,119.97,debit_card,10:34,Denmark
Erste Group,2023-01-12,18,277.0,credit_card,17:36,Romania
Swatch Group,2023-10-17,13,14.06,cash,06:46,Monaco
Porsche SE,2023-03-16,81,273.65,debit_card,17:39,Italy
Auto Trader Group,2023-12-01,97,68.5,debit_card,04:47,Greece
Burberry,2023-02-15,85,148.27,debit_card,20:50,Bosnia and Herzegovina
Terna,2023-10-18,7,108.11,credit_card,06:03,Denmark
Roche,2023-10-27,82,75.82,credit_card,03:05,Liechtenstein
Evonik,2023-02-20,96,104.69,debit_card,01:59,Norway
Telia Company,2023-03-18,71,136.57,cash,12:25,Portugal
Grifols,2023-11-21,3,144.61,cash,18:16,Austria
Admiral Group,2023-02-06,60,118.36,debit_card,23:18,Latvia
Novartis,2023-06-16,94,139.83,cash,03:13,Slovakia
Amadeus IT Group,2023-03-27,67,261.64,credit_card,01:14,Italy
Ageas,2023-06-21,11,223.88,credit_card,07:25,Vatican City
Erste Group,2023-04-20,84,77.16,debit_card,08:08,Hungary
Coca-Cola HBC,2023-03-20,10,54.8,debit_card,14:16,Andorra
Rank Group,2023-07-16,32,146.83,credit_card,18:48,Netherlands
Experian,2023-07-02,1,93.06,debit_card,22:02,Andorra
Bayer,2023-06-27,7,190.52,debit_card,09:16,Norway
Legal & General,2023-08-09,5,171.35,credit_card,01:55,Romania
InterContinental Hotels Group,2023-02-10,13,197.87,debit_card,04:38,Liechtenstein
Marks & Spencer,2023-11-22,80,73.15,credit_card,15:25,Netherlands
Clariant,2023-10-26,63,251.32,credit_card,03:06,Norway
Randstad Holding,2023-02-21,32,255.03,cash,20:11,Iceland
Pirelli,2023-01-20,2,75.32,debit_card,17:18,North Macedonia
Aviva,2023-06-03,97,291.18,cash,20:30,Latvia
AXA,2023-01-28,44,120.02,debit_card,03:58,Denmark
ASML Holding,2023-03-25,36,182.22,credit_card,04:20,Sweden
Glanbia,2023-09-10,83,213.69,debit_card,08:36,United Kingdom
RHI Magnesita,2023-05-28,56,112.0,cash,14:10,United Kingdom
RSA Insurance Group,2023-09-05,92,285.29,debit_card,12:23,Serbia
Telenor,2023-08-07,99,14.03,credit_card,21:46,Malta
Safran,2023-09-22,22,163.94,debit_card,06:03,Bosnia and Herzegovina
Bae Systems,2023-09-26,15,31.21,debit_card,05:34,Moldova
Aviva,2023-03-21,20,177.68,credit_card,22:50,Kosovo
Nestlé,2023-04-19,48,117.41,credit_card,20:28,Monaco
H&M,2023-12-24,48,67.54,debit_card,13:57,Estonia
Endesa,2023-07-04,58,129.27,debit_card,13:16,Slovenia
Glencore,2023-04-19,70,86.61,cash,02:44,Luxembourg
Vestas,2023-11-08,44,201.09,cash,10:47,Belgium
Swisscom,2023-06-29,92,170.62,cash,09:41,Denmark
Johnson Matthey,2023-12-07,56,95.66,cash,19:12,France
M&G,2023-10-02,24,292.98,credit_card,02:46,Switzerland
Coca-Cola European Partners,2023-12-08,18,297.19,debit_card,23:35,San Marino
Zalando,2023-10-15,78,169.19,cash,08:48,Iceland
Cairn Homes,2023-12-25,90,181.93,cash,04:31,Switzerland
Euskaltel,2023-03-09,80,189.96,cash,23:52,Belgium
MAN SE,2023-08-02,90,136.32,credit_card,21:40,Denmark
Outokumpu,2023-11-22,99,172.28,debit_card,13:36,Czech Republic
Experian,2023-08-23,74,62.1,credit_card,19:37,Germany
Electrolux,2023-05-14,87,263.79,cash,17:37,Cyprus
Great Portland Estates,2023-12-05,79,272.05,credit_card,23:40,Croatia
Raiffeisen Bank,2023-10-23,78,276.06,credit_card,23:38,Slovenia
Terna,2023-12-16,61,20.94,debit_card,05:15,Poland
Pernod Ricard,2023-07-18,59,288.16,debit_card,11:10,Italy
MAN SE,2023-08-31,59,246.18,credit_card,01:23,Austria
Rentokil Initial,2023-01-22,7,131.24,cash,11:34,Bosnia and Herzegovina
RSA Insurance Group,2023-11-29,91,91.23,credit_card,18:43,Estonia
DNB ASA,2023-04-12,77,194.95,credit_card,18:05,Latvia
Total,2023-03-24,6,47.42,debit_card,00:27,Montenegro
Pearson plc,2023-05-29,59,53.16,credit_card,04:10,Belgium
Kingfisher,2023-01-09,31,99.7,cash,20:35,Moldova
Neste,2023-05-22,58,293.12,credit_card,13:02,Poland
Segro,2023-05-14,59,36.61,cash,15:08,Poland
Schroders,2023-11-06,77,140.35,credit_card,03:10,Poland
BASF,2023-04-03,97,276.38,credit_card,05:32,Greece
Barratt Developments,2023-06-01,89,88.06,debit_card,00:22,Denmark
Tesco,2023-10-20,84,129.0,credit_card,23:33,Czech Republic
BT Group,2023-10-04,1,120.1,cash,15:41,Greece
Generali Group,2023-10-15,40,180.54,debit_card,03:23,Estonia
Burberry,2023-10-15,14,275.23,cash,13:46,Spain
Savills,2023-05-03,1,51.88,credit_card,08:49,Sweden
Standard Chartered,2023-06-07,2,208.68,debit_card,21:52,Croatia
LafargeHolcim,2023-07-08,21,231.19,credit_card,15:49,Iceland
Burberry,2023-04-12,83,230.74,credit_card,19:53,Switzerland
An Post,2023-08-07,52,207.87,cash,13:14,Portugal
Terna,2023-06-19,89,246.92,credit_card,20:02,Ukraine
Equinor,2023-03-05,67,218.4,cash,07:20,Netherlands
Straumann,2023-07-22,88,13.14,debit_card,21:57,Greece
Tesco,2023-09-26,36,73.63,credit_card,19:25,France
Glencore,2023-06-27,7,84.13,debit_card,15:50,Luxembourg
SAP,2023-07-22,91,189.65,cash,13:24,Kosovo
Cancom,2023-04-03,52,90.32,credit_card,14:50,Denmark
Beiersdorf,2023-03-01,77,121.64,credit_card,20:20,Lithuania
AXA,2023-08-20,67,133.78,cash,09:11,Kosovo
Kingfisher plc,2023-02-20,27,199.21,credit_card,19:53,North Macedonia
Morrison Supermarkets,2023-04-22,28,182.77,cash,11:26,Slovakia
EssilorLuxottica,2023-07-01,5,60.52,credit_card,07:55,Greece
Royal Dutch Shell,2023-02-04,41,241.14,cash,01:57,Finland
ArcelorMittal,2023-02-05,73,54.8,credit_card,19:54,Serbia
Burberry,2023-06-19,49,190.33,credit_card,01:31,Poland
Barco,2023-12-05,24,25.67,credit_card,22:33,Moldova
JD Sports Fashion,2023-04-17,19,248.56,cash,09:30,Iceland
Lindt & Sprüngli,2023-02-21,43,264.44,debit_card,21:20,Ireland
Kingfisher,2023-04-22,71,163.74,debit_card,18:15,Bosnia and Herzegovina
Legal & General,2023-08-31,60,173.35,cash,05:03,Luxembourg
Pernod Ricard,2023-05-27,4,22.49,cash,10:40,Belarus
Next plc,2023-07-09,15,261.25,credit_card,22:56,Bosnia and Herzegovina
Diageo,2023-03-25,75,12.61,credit_card,22:58,Croatia
BAE Systems,2023-03-25,94,135.01,debit_card,02:46,Ireland
Auto Trader Group,2023-02-11,72,161.02,cash,19:10,Spain
Ryanair,2023-03-14,64,269.27,credit_card,03:01,Norway
Rio Tinto,2023-02-13,14,281.21,debit_card,16:42,Lithuania
WPP plc,2023-10-01,70,134.68,credit_card,10:09,Belgium
CRH plc,2023-08-02,7,105.61,cash,23:20,Poland
Pirelli,2023-02-08,49,79.6,cash,11:56,United Kingdom
Getinge,2023-01-25,46,173.31,cash,01:28,Netherlands
DNB ASA,2023-04-25,61,111.61,cash,19:09,Sweden
Ryanair,2023-12-26,83,153.13,cash,23:48,Netherlands
Porsche SE,2023-12-10,4,242.86,debit_card,20:29,Netherlands
Fresenius,2023-06-28,44,279.65,credit_card,21:08,Serbia
Volkswagen,2023-07-16,51,275.95,debit_card,05:32,Ireland
United Utilities,2023-11-26,83,185.14,debit_card,16:45,United Kingdom
Next plc,2023-10-01,55,209.03,cash,04:23,Monaco
Morrison Supermarkets,2023-05-13,56,48.9,debit_card,20:52,North Macedonia
Barclays,2023-03-21,75,49.99,cash,16:33,North Macedonia
Aker BP,2023-05-29,16,274.65,cash,09:07,Germany
Acerinox,2023-09-17,100,38.03,credit_card,05:53,Germany
OMV Group,2023-10-12,94,221.86,debit_card,02:36,Cyprus
BAE Systems,2023-01-25,60,160.78,debit_card,06:08,Bulgaria
Volkswagen,2023-04-01,50,76.5,credit_card,02:12,Albania
London Stock Exchange Group,2023-05-12,16,128.02,credit_card,19:33,Netherlands
Adidas,2023-06-09,12,22.41,credit_card,07:59,Liechtenstein
Clariant,2023-02-04,63,169.62,cash,23:43,Germany
Cancom,2023-04-01,18,172.15,credit_card,17:22,Montenegro
Vestas,2023-04-30,35,85.79,cash,21:59,Kosovo
Straumann,2023-07-17,72,240.12,cash,19:06,Germany
Renault,2023-08-25,34,103.04,credit_card,02:41,San Marino
Next,2023-05-17,7,76.6,debit_card,22:05,Finland
Kuehne + Nagel,2023-08-18,53,129.61,debit_card,02:35,France
Nordea,2023-06-23,7,296.27,debit_card,00:57,Latvia
Cellnex,2023-04-26,24,257.21,debit_card,04:12,Liechtenstein
MAN SE,2023-08-29,67,222.28,credit_card,09:03,Hungary
Vestas,2023-03-25,36,167.69,debit_card,05:18,Belarus
Swisscom,2023-11-30,34,269.98,credit_card,06:23,Austria
Givaudan,2023-08-10,83,125.57,debit_card,08:42,Ireland
Schroders,2023-07-22,9,247.8,credit_card,12:03,Finland
Fiat,2023-02-10,86,131.1,credit_card,01:44,Sweden
Reckitt Benckiser,2023-11-21,75,137.42,credit_card,05:29,Germany
Diageo,2023-07-11,64,226.73,debit_card,11:12,Croatia
Tesco,2023-03-28,24,299.62,debit_card,17:17,Iceland
Marks & Spencer,2023-01-25,56,218.39,debit_card,12:24,Iceland
Schroders,2023-01-29,45,155.62,cash,12:33,Albania
GlaxoSmithKline,2023-04-05,9,24.43,debit_card,14:57,Latvia
Osram,2023-02-07,44,92.6,cash,21:43,Belarus
Bankia,2023-12-03,15,56.95,debit_card,16:31,Vatican City
Sainsbury's,2023-06-13,65,163.38,credit_card,06:53,France
St. James's Place plc,2023-09-08,18,193.98,debit_card,10:47,Italy
Ryanair,2023-02-27,13,55.79,cash,11:06,Andorra
Nestlé,2023-06-04,7,104.02,credit_card,13:55,Greece
Rentokil Initial,2023-04-30,46,94.39,debit_card,06:27,Bulgaria
Betsson,2023-06-04,74,66.47,credit_card,22:35,Luxembourg
Prudential,2023-01-03,74,52.29,debit_card,13:36,Latvia
Inditex,2023-03-30,72,124.24,credit_card,17:46,Ukraine
ISS A/S,2023-09-07,82,290.81,credit_card,02:47,Finland
Marston's,2023-07-27,97,193.46,debit_card,07:16,Greece
Melrose Industries,2023-05-12,41,114.82,cash,03:34,Austria
BNP Paribas,2023-01-09,47,195.68,credit_card,13:06,Hungary
K+S AG,2023-02-01,98,159.86,credit_card,22:57,Switzerland
Legrand,2023-01-17,58,276.43,cash,20:13,Czech Republic
Straumann,2023-05-17,82,55.15,debit_card,15:56,Italy
Randstad Holding,2023-06-14,52,160.99,cash,09:28,Ireland
Telefónica,2023-05-07,43,110.76,credit_card,02:00,Netherlands
Just Eat,2023-11-11,84,152.35,cash,19:16,Denmark
ISS A/S,2023-02-16,82,190.33,debit_card,06:45,Latvia
Inditex,2023-06-06,91,193.28,cash,20:53,Luxembourg
Rolls-Royce Holdings,2023-04-05,12,107.69,credit_card,05:10,Iceland
Barratt Developments,2023-04-05,73,166.45,credit_card,08:29,Malta
Mapfre,2023-08-30,44,148.37,cash,04:04,Finland
NH Hotel Group,2023-09-10,19,276.68,credit_card,02:19,San Marino
Royal Dutch Shell,2023-06-14,46,26.0,credit_card,13:04,Belgium
Morrison Supermarkets,2023-02-15,73,78.94,debit_card,05:54,Norway
UniCredit,2023-04-29,78,183.75,cash,08:38,Serbia
WPP plc,2023-08-16,43,206.12,credit_card,15:22,Estonia
Heineken,2023-12-21,28,239.51,credit_card,09:37,Poland
Glanbia,2023-02-04,6,118.14,cash,04:11,Albania
Ryanair,2023-03-14,40,76.56,credit_card,02:58,Albania
Fresenius,2023-05-17,33,132.6,credit_card,02:32,Liechtenstein
Whitbread,2023-02-25,86,210.54,debit_card,00:50,Luxembourg
OMV Group,2023-02-23,39,134.31,credit_card,05:04,Slovenia
Derwent London,2023-11-07,6,265.57,debit_card,04:54,Austria
Glanbia,2023-12-31,65,194.17,debit_card,11:13,Malta
Galenica,2023-03-09,69,50.14,debit_card,05:10,Bosnia and Herzegovina
Zalando,2023-04-04,81,220.47,credit_card,00:13,Bosnia and Herzegovina
Imperial Brands,2023-06-17,49,230.94,credit_card,01:09,Bosnia and Herzegovina
Accor,2023-07-28,86,51.21,cash,03:00,Switzerland
Vattenfall,2023-11-27,63,245.65,debit_card,12:29,Greece
Segro,2023-10-30,58,158.35,credit_card,20:46,Spain
Standard Chartered,2023-07-30,28,139.88,cash,04:54,Spain
Van Oord,2023-11-07,90,142.91,debit_card,06:23,Netherlands
Ryanair,2023-01-27,38,135.22,debit_card,14:14,Luxembourg
Prada,2023-05-01,11,224.27,credit_card,16:29,Norway
Paddy Power Betfair,2023-04-23,73,74.78,debit_card,11:01,Cyprus
Balfour Beatty,2023-01-07,69,140.32,cash,06:06,Slovenia
Royal BAM Group,2023-08-17,71,31.49,cash,08:42,Kosovo
Kingspan Group,2023-02-20,90,251.5,cash,03:06,Greece
SKF,2023-02-21,68,85.33,cash,13:22,Croatia
Vodafone Group,2023-12-22,39,112.74,debit_card,14:45,Cyprus
Sonae,2023-07-22,51,215.26,cash,11:30,Romania
Royal Dutch Shell,2023-11-06,53,16.37,debit_card,21:06,Iceland
Kingfisher plc,2023-10-22,10,68.89,cash,09:46,Slovenia
Endesa,2023-10-05,81,82.05,debit_card,00:24,Portugal
Delivery Hero,2023-01-28,6,124.18,debit_card,11:50,Romania
Swiss Re,2023-01-16,6,133.01,debit_card,16:33,Belarus
Raiffeisen Bank,2023-03-12,37,156.73,debit_card,04:18,Ireland
Carlsberg Group,2023-08-14,80,227.66,debit_card,06:29,Switzerland
InterContinental Hotels Group,2023-04-18,62,73.58,debit_card,08:46,Ukraine
Outokumpu,2023-09-23,53,62.47,cash,22:00,Greece
Coca-Cola HBC,2023-12-25,86,45.7,debit_card,02:54,Romania
NH Hotel Group,2023-10-03,86,185.3,cash,09:32,Italy
Whitbread,2023-07-15,73,130.52,debit_card,03:52,Kosovo
Kuehne + Nagel,2023-01-10,22,53.72,credit_card,03:30,France
Marks & Spencer,2023-03-14,50,175.38,credit_card,14:19,Norway
Marks & Spencer,2023-11-24,41,178.84,debit_card,12:59,Finland
GVC Holdings,2023-06-27,100,70.43,cash,03:29,Iceland
BAE Systems,2023-04-15,79,223.58,debit_card,22:20,Portugal
Credit Suisse,2023-05-11,41,80.09,cash,05:33,Finland
Orange,2023-08-13,26,189.84,debit_card,10:26,Belarus
Enagas,2023-08-14,13,177.29,credit_card,19:06,Lithuania
Ryanair,2023-12-21,96,112.62,debit_card,12:49,Andorra
Clariant,2023-09-02,52,165.02,debit_card,01:26,Sweden
An Post,2023-01-03,78,78.03,credit_card,21:49,Croatia
Betsson,2023-03-09,7,22.94,credit_card,08:40,Iceland
Ahold Delhaize,2023-11-14,73,62.27,cash,19:03,Czech Republic
Aviva,2023-04-10,59,32.4,cash,20:02,Austria
Admiral Group,2023-10-15,54,295.79,credit_card,14:34,Estonia
National Grid plc,2023-09-26,10,233.91,debit_card,11:15,Austria
Lufthansa,2023-06-08,88,224.92,debit_card,06:07,North Macedonia
Burberry,2023-12-18,75,224.0,cash,23:57,Ireland
SKF,2023-05-15,50,216.59,credit_card,10:56,Greece
Blackstone Group,2023-12-26,26,106.89,cash,04:30,Bosnia and Herzegovina
Croda International,2023-05-09,90,92.46,credit_card,03:41,San Marino
Stora Enso,2023-04-23,62,218.0,debit_card,07:49,Liechtenstein
Rolls-Royce Holdings,2023-10-13,76,95.05,debit_card,21:15,Luxembourg
ABB,2023-10-23,76,135.43,cash,02:33,Greece
Strabag,2023-10-12,56,198.88,debit_card,05:23,Italy
Rio Tinto,2023-04-20,25,291.64,debit_card,15:23,Hungary
Telia Company,2023-03-31,2,124.33,credit_card,09:27,Iceland
Saint-Gobain,2023-11-15,36,86.22,credit_card,08:55,Iceland
Rolls-Royce Holdings,2023-02-14,90,117.57,credit_card,13:25,Sweden
Reckitt Benckiser,2023-10-23,37,46.59,credit_card,09:39,Bosnia and Herzegovina
Aviva,2023-08-12,59,171.35,credit_card,20:20,Estonia
An Post,2023-06-27,16,234.28,credit_card,18:26,Hungary
Inditex,2023-02-22,88,137.85,debit_card,22:25,Serbia
Fugro,2023-12-08,33,166.89,cash,14:09,Romania
Smurfit Kappa,2023-03-17,38,211.75,debit_card,13:04,San Marino
DNB ASA,2023-12-21,93,95.05,debit_card,16:31,Norway
Recticel,2023-10-07,80,98.73,credit_card,14:10,Iceland
Enel,2023-03-10,96,66.19,credit_card,11:59,Monaco
Mediaset España,2023-12-18,90,205.73,credit_card,01:48,Norway
Enagas,2023-03-13,17,295.05,credit_card,04:36,Denmark
Galenica,2023-12-04,5,263.79,debit_card,22:04,Norway
London Stock Exchange Group,2023-06-22,4,202.01,cash,17:25,Belarus
Logitech,2023-08-12,62,231.31,credit_card,21:35,Poland
Prudential plc,2023-09-25,78,166.27,credit_card,13:41,Denmark
Nestlé,2023-06-25,47,170.36,credit_card,17:20,Sweden
Aegon,2023-03-04,9,220.63,credit_card,05:48,Czech Republic
STMicroelectronics,2023-03-09,69,70.93,cash,13:25,Portugal
Software AG,2023-04-17,2,237.61,debit_card,17:54,Serbia
DSM,2023-05-28,32,158.0,debit_card,16:12,Spain
Bosch,2023-04-27,5,43.32,cash,08:29,Norway
SAP,2023-11-08,46,107.02,debit_card,22:32,Finland
LVMH,2023-12-10,44,14.01,cash,01:34,Switzerland
Antofagasta,2023-01-15,78,183.35,credit_card,14:54,Malta
Royal Dutch Shell,2023-11-05,10,217.05,credit_card,14:46,Hungary
Glanbia,2023-04-04,17,66.62,debit_card,22:10,Greece
Holcim,2023-12-17,40,165.74,cash,11:25,Austria
Grupo ACS,2023-03-12,20,245.1,cash,18:00,Norway
Terna,2023-03-04,56,162.36,debit_card,07:28,Hungary
Sandvik,2023-03-17,40,23.26,cash,12:36,Latvia
CRH plc,2023-11-22,60,36.27,credit_card,12:29,Ireland
HSBC,2023-10-12,100,167.56,cash,04:11,Netherlands
OMV Group,2023-08-09,65,286.97,debit_card,18:42,Liechtenstein
BAE Systems,2023-08-14,80,26.74,cash,05:30,Norway
Barclays,2023-04-02,33,270.79,debit_card,02:48,Germany
Fugro,2023-05-11,2,292.71,debit_card,19:54,Montenegro
E.ON,2023-08-30,3,258.29,debit_card,07:23,Vatican City
